전시ID,전시명,연도,시작일,종료일,운영일수,목표관객,목표금액,최종유료,최종무료,최종총인원,최종매출,최종점유율,수익성,상태
240305_01,어린이 미술전<파르르 파르르>,2024,2024-03-05,2024-05-26,72,2899,12000000,2702,343,3045,10742400,89.5,상업,종료
240412_01,창작스튜디오 5기 프리뷰전,2024,2024-04-12,2024-05-19,33,333,1000000,995,89,1084,2985000,298.5,공공,종료
240501_01,장도 나라의 앨리스,2024,2024-05-01,2024-05-04,4,,,,,,,,무료,종료
240517_01,창작스튜디오 5기 오픈스튜디오(무료),2024,2024-05-17,2024-05-19,3,,,,,996,0,,무료,종료
240712_01,앙리 마티스 LOVE & JAZZ,2024,2024-07-12,2024-11-03,98,3573,20000000,6457,279,6736,36486000,182.4,상업,종료
240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,2024,2024-07-23,2024-08-04,12,333,1000000,319,89,408,957000,95.7,공공,종료
240810_01,댕댕이의 하루,2024,2024-08-10,2024-09-29,43,1000,4000000,758,86,844,3032000,75.8,상업,종료
241004_01,5기 입주작가전_김용원,2024,2024-10-04,2024-12-22,21,1512,3024000,396,83,479,792000,26.2,공공,종료
241004_02,5기 입주작가전_김용현,2024,2024-10-04,2024-12-22,21,1512,3024000,885,130,1015,1770000,58.5,공공,종료
241004_03,5기 입주작가전_이연숙,2024,2024-10-04,2024-12-22,21,1512,3024000,1355,168,1523,2710000,89.6,공공,종료
241112_01,입주작가초대전_김상선 <바람이 머무는 풍경>,2024,2024-11-12,2024-12-15,30,333,1000000,749,250,999,2247000,224.7,공공,종료
250225_01,어린이 미술전 <냠냠>,2025,2025-02-25,2025-05-25,79,4695,30420000,5271,589,5860,32936000,108.3,상업,종료
250314_01,창작스튜디오 6기 <프리뷰전>,2025,2025-03-14,2025-04-27,39,805,1980000,1063,96,1159,2446000,123.5,공공,종료
250503_01,"장도 기획전시 <HELLO, 고래야>",2025,2025-05-03,2025-07-20,69,2100,6300000,3190,111,3301,9570000,151.9,상업,종료
250708_01,여름방학전 <내셔널지오그래픽 사진전>,2025,2025-07-08,2025-09-21,72,7000,35000000,3296,202,3498,16480000,47.1,상업,종료
250808_01,"단기입주작가전 <홍원표_Memory, 존재와 감각의 흔적들>",2025,2025-08-08,2025-08-31,21,735,1470000,277,83,360,554000,37.7,공공,종료
251017_01,창작스튜디오 6기 입주작가전_김영진,2025,2025-10-17,2025-12-14,15,1260,2520000,554,165,719,1108000,44,공공,종료
251017_02,창작스튜디오 6기 입주작가전_김희수,2025,2025-10-17,2025-12-14,15,1260,2520000,985,200,1185,1970000,78.2,공공,종료
251017_03,창작스튜디오 6기 입주작가전_형세린,2025,2025-10-17,2025-12-21,21,1260,2520000,1519,262,1781,3038000,120.6,공공,종료
251107_01,지역작가초대전 <이존립>,2025,2025-11-07,2025-12-28,45,490,1470000,2105,249,2354,6315000,429.6,공공,종료
260213_01,창작스튜디오 7기 입주작가 프리뷰,2026,2026-02-13,2026-03-15,32,1040,2080000,828,50,878,1656000,79.6,공공,종료
260227_01,어린이미술전 <우리 SUM 타볼래>,2026,2026-02-27,2026-06-28,96,5685,31500000,3000,233,3233,16184000,51.4,상업,진행중
260327_01,섬냥이 in 장도,2026,2026-03-27,2026-06-21,72,3333,10000000,2795,68,2863,8385000,83.9,상업,진행중
260416_01,어린이미술전 <우리 SUM 타볼래> 워크숍,2026,2026-04-16,2026-05-30,1,54,4800000,21,0,21,1852000,38.6,상업,종료
260613_01,창작스튜디오 오픈스튜디오,2026,2026-06-13,2026-06-14,2,,,0,1054,1054,0,,무료,종료
