주소1,주소2,회원수
Example State 001,Example City 003,14772
Example State 001,Example City 001,6496
Example State 001,Example City 004,2959
Example State 001,Example City 032,318
Example State 001,Example City 002,242
Example State 001,Example City 028,225
Example State 001,Example City 043,219
Example State 001,Example City 017,180
Example State 001,Example City 049,134
Example State 003,Example City 062,131
Example State 001,Example City 018,124
Example State 001,Example City 014,101
Example State 001,Example City 047,97
Example State 006,Example City 030,92
Example State 001,Example City 019,91
Example State 006,Example City 027,71
Example State 005,Example City 460,71
Example State 005,Example City 461,71
Example State 006,Example City 050,70
Example State 001,Example City 031,69
Example State 006,Example City 042,60
Example State 008,Example City 044,59
Example State 006,Example City 054,58
Example State 003,Example City 009,57
Example State 001,Example City 167,54
Example State 003,Example City 007,53
Example State 001,Example City 025,52
Example State 006,Example City 061,51
Example State 006,Example City 013,47
Example State 003,Example City 029,46
Example State 006,Example City 075,46
Example State 008,Example City 433,44
Example State 011,Example City 447,42
Example State 005,Example City 036,42
Example State 010,Example City 023,41
Example State 006,Example City 064,41
Example State 006,Example City 175,41
Example State 006,Example City 183,38
Example State 006,Example City 053,37
Example State 010,Example City 043,36
Example State 005,Example City 176,36
Example State 006,Example City 059,35
Example State 008,Example City 455,34
Example State 006,Example City 011,34
Example State 006,Example City 067,33
Example State 003,Example City 179,33
Example State 006,Example City 194,32
Example State 006,Example City 048,31
Example State 008,Example City 439,30
Example State 005,Example City 189,30
Example State 004,Example City 043,29
Example State 008,Example City 437,29
Example State 008,Example City 446,29
Example State 006,Example City 068,29
Example State 006,Example City 201,29
Example State 001,Example City 052,29
Example State 015,Example City 069,28
Example State 008,Example City 087,28
Example State 001,Example City 204,25
Example State 001,Example City 173,24
Example State 006,Example City 037,24
Example State 006,Example City 076,24
Example State 008,Example City 078,24
Example State 008,Example City 083,24
Example State 008,Example City 015,24
Example State 003,Example City 071,23
Example State 001,Example City 005,23
Example State 001,Example City 026,23
Example State 003,Example City 431,22
Example State 008,Example City 192,22
Example State 013,Example City 222,22
Example State 004,Example City 077,22
Example State 015,Example City 203,21
Example State 014,Example City 435,21
Example State 008,Example City 224,20
Example State 008,Example City 454,20
Example State 009,Example City 017,20
Example State 008,Example City 444,20
Example State 003,Example City 432,20
Example State 003,Example City 450,20
