no,공연명,년도,월,일시,주최/주관,티켓가,입장연령,공연장소,공연구분,공연장르,세부장르,티켓구분,셋업,공연일수,철수,전체,공연횟수,기본좌석,발권유료,발권초대,발권합계,수표유료,수표초대,수표합계,공연총좌석,집계공연일수,관람객,판매금액,첫공연일,공연ID
1,예울마루 개관기념 KBS열린음악회,2012,5,5/10(목)19:00,예울마루,무료,전체관람가,분수광장,기획,대중,기타,무료,3,1,0,4,1,6000,0,6000,6000,0,6000,,,,,,2012-05-10,120510_01
2,여수엑스포심포니오케스트라왈츠콘서트,2012,5,5/21(월)19:30,여수심포니오케스트라,무료,전체관람가,대극장,대관,순수,클래식,무료,0,1,0,1,1,948,0,720,720,0,700,,,,,,2012-05-21,120521_01
3,여수시립합창단 제61회 정기연주회,2012,5,5/22(화)19:30,여수시/여수시립합창단,무료,전체관람가,대극장,대관,순수,클래식,무료,0,1,0,1,1,1021,996,0,996,969,0,,3,3,7716,,2012-05-22,120522_01
4,창작 오페라 사랑의원자탄 '손양원',2012,6,"6/1(금)19:30
6/2(토)14:00/19:30",여수MBC,"VIP석 78,000원
R석 68,000원
S석 58,000원",미취학 아동 입장불가,대극장,대관,복합,오페라,유료,3,2,1,6,3,2844,1650,0,1650,1498,101,,,,,,2012-06-01,120601_01
5,GS칼텍스 예울마루 개관기념 한·중 연합오케스트라 연주회,2012,6,6/9(토)19:00,예울마루,"VIP석 70,000원
R석 50,000원
S석 30,000원
A석 20,000원",미취학 아동 입장불가,대극장,기획,순수,클래식,유료,0,1,0,1,1,948,930,0,930,799,0,,,,,,2012-06-09,120609_01
6,한-요르단 수교 50주년 기념] 요르단 국립민속예술단,2012,6,6/10(일)17:00,리모커뮤니케이션즈,무료,전체관람가,소극장,대관,순수,무용,무료,0,1,0,1,1,302,0,261,261,0,241,,,,,,2012-06-10,120610_01
7,창작오페라<귀항>_2012,2012,6,"6/14(목)19:30
6/15(금)19:30
6/16(토)19:30",여수시/2012여수 세계박람회 여수시문화예술행사추진위원회/(사)한국음악협외 여수지부,"R석 30,000원
S석 20,000원
A석 10,000원",미취학 아동 입장불가,대극장,대관,복합,오페라,유료,4,3,1,8,3,2844,1864,293,2157,1754,246,,,,,,2012-06-14,120614_01
8,[한-모로코 수교 50주년 기념] 모로코 라바트 안달루시아 오케스트라,2012,6,6/17(토)17:00,리모커뮤니케이션즈,무료,전체관람가,소극장,대관,순수,클래식,무료,0,1,0,1,1,302,0,226,226,0,196,,,,,,2012-06-17,120617_01
9,"배병우의<대양을 향하여>를 위한<거문고,소리,피아노 그리고 춤>",2012,6,6/28(목)19:00,여수상공회의소/여수문화원,무료,전체관람가,소극장,대관,대중,행사,무료,0,1,0,1,1,302,0,239,239,0,215,,,,,,2012-06-28,120628_01
10,2012 여수엑스포 축하음악회 - 여수필하모닉오케스트라 제 24회 연주회,2012,6,6/29(금)19:30,여수필하모닉오케스트라,무료,미취학 아동 입장불가,대극장,대관,순수,클래식,무료,0,1,0,1,1,948,0,732,732,0,650,,11,10,6195,,2012-06-29,120629_01
