no,공연명,년도,월,일시,주최/주관,티켓가,입장연령,공연장소,공연구분,공연장르,세부장르,티켓구분,셋업,공연일수,철수,전체,공연횟수,기본좌석,발권유료,발권초대,발권합계,수표유료,수표초대,수표합계,판매금액,첫공연일,공연ID
1,2024 예울마루 신년음악회,2024,1,1/19(금) 19:30,GS칼텍스 예울마루,"R석 120,000원
S석 90,000원
A석 60,000원
B석 40,000원",8세이상,대극장,기획,순수,클래식,유료,0,1,0,1,1,936,673,85,758,648,77,725,32610590,2024-01-19,240119_01
2,"브런치콘서트 <봄, 여행, 춤 그리고 음악>-여수",2024,3,3/20(수) 11:00,GS칼텍스 예울마루,"전석 15,000원",8세이상,대극장,기획,순수,클래식,유료,1,1,0,2,1,668,546,26,572,519,15,534,8282145,2024-03-20,240320_01
3,GS칼텍스 예울마루 위크,2024,5,5/1(수)~5/3(금) 19:00,GS칼텍스 예울마루,전석 무료,전체관람가,장도,기획,대중,콘서트,무료,1,3,1,5,3,500,0,1480,1480,0,1480,1480,,2024-05-01,240501_01
4,어린이 뮤지컬 <폴리팝> - 여수,2024,5,5/8(수)~5/12(일) 11:00/14:00,GS칼텍스 예울마루,"R석 60,000원
S석 40,000원",24개월이상,대극장,기획,복합,뮤지컬,유료,2,5,0,7,10,991,3622,139,3761,3558,38,3596,127189908,2024-05-08,240508_01
5,뮤지컬 <썸데이> - 여수,2024,5,"5/14(화)~5/19(일)
5/14(화) 19:30
5/15(수) 14:00
5/16(목) 10:00
5/17(금) 10:00/19:30
5/18(토) 14:00, 16:30
5/19(일) 15:00",GS칼텍스 예울마루/여수MBC,"전석 55,000원",미취학 아동 입장불가,소극장,기획,순수,연극,유료,1,6,0,7,8,294,1748,53,1801,1688,22,1710,33396270,2024-05-14,240514_01
6,"브런치콘서트 <룰루랄라, 우리 함께 노래해요>",2024,6,6/5(수) 11:00,GS칼텍스 예울마루,"전석 15,000원",미취학 아동 입장불가,대극장,기획,순수,클래식,유료,1,1,0,2,1,936,691,32,723,653,18,671,9739177,2024-06-05,240605_01
7,뮤지컬 <노트르담 드 파리>,2024,7,"7/12(금) 19:30 
7/13(토) 14:00, 19:00 
7/14(일) 14:00",GS칼텍스 예울마루/여수MBC,"R석 160,000원
S석 130,000원
A석 90,000원",초등학생 이상부터,대극장,기획,복합,뮤지컬,유료,4,3,0,7,4,1001,3634,63,3697,3606,32,3638,235830933,2024-07-12,240712_01
8,2024 뮤지컬 <장영실과 함께하는 별별GPT>,2024,7,"7/19 (금) 19:30
7/20 (토) 11:00, 15:00","GS칼텍스 예울마루
/쎈스 CenS","R석 30,000원
S석 20,000원",8세이상,대극장,기획,복합,뮤지컬,유료,4,2,0,6,3,490,273,180,453,266,135,401,4208780,2024-07-19,240719_01
9,연희단팔산대 <무풍(舞風): 바람의 춤>,2024,8,8/17(토)~8/18(일) 17:00,GS칼텍스 예울마루,전석 2만원,미취학아동 입장불가,소극장,기획,순수,국악,유료,1,2,0,3,2,298,548,9,557,502,1,503,9023536,2024-08-17,240817_01
10,헬로! 오페라 <봄봄>,2024,8,8/23(금)19:30~8/24(토) 17:00,GS칼텍스 예울마루,전석 4만원,초등학생 이상부터,대극장,기획,복합,오페라,유료,1,2,0,3,2,440,553,44,597,534,23,557,15404036,2024-08-23,240823_01
11,"브런치콘서트 <앙리 마티스와 클래식, 그리고 ""스캔들"">",2024,9,9/4(수) 11:00,GS칼텍스 예울마루,"전석 15,000원",미취학 아동 입장불가,대극장,기획,순수,클래식,유료,1,1,0,2,1,936,718,10,728,648,1,649,9675350,2024-09-04,240904_01
12,트리오 인 : 드보르자크,2024,9,9/6(금) 19:30,GS칼텍스 예울마루,"R석 7만원
S석 5만원",미취학 아동 입장불가,대극장,기획,순수,클래식,유료,0,1,0,1,1,936,173,125,298,166,85,251,9149231,2024-09-06,240906_01
13,어린이 뮤지컬 <친구의 전설>,2024,9,9/10(화)~9/12(목) 11:00/14:00,GS칼텍스 예울마루/여수MBC,전석 6만원,24개월이상,대극장,기획,복합,뮤지컬,유료,1,3,0,4,6,936,2378,90,2468,2334,29,2363,34904910,2024-09-10,240910_01
14,GS칼텍스 예울마루 실내악 페스티벌 Part 1.,2024,10,"10/10(목)~10/11(금) 19:30
10/12(토)~10/13(일) 17:00",GS칼텍스 예울마루,"R석 5만원
S석 3만원
학생전석 1만원",초등학생 이상,대극장,기획,순수,클래식,유료,0,4,0,4,4,668,333,346,679,311,250,561,9016213,2024-10-10,241010_01
15,3테너 콘서트 in 여수,2024,11,11/1(금)19:30,GS칼텍스 예울마루,"R석 7만원
S석 5만원
A석 3만원",미취학 아동 입장불가,대극장,기획,순수,클래식,유료,0,1,0,1,1,936,339,67,406,335,56,391,17755083,2024-11-01,241101_01
16,뮤지컬 <오즈의 의류수거함>,2024,11,"11/13(수),11/15일 10:30/14:00
11/16(토) 14:00/17:00",GS칼텍스 예울마루,"R석(1층) 5만원
S석(2층) 3만원",24개월이상,대극장,기획,복합,뮤지컬,유료,2,3,0,5,6,926,2244,92,2336,2149,32,2181,68525434,2024-11-13,241113_01
17,뮤지컬 <젠틀맨스 가이드: 사랑과 살인편>,2024,11,"11/22(금) 19:30
11/23(토) 14:00, 18:30
11/24(일) 14:00",GS칼텍스 예울마루/여수MBC,"전석 25,000원",24개월이상,소극장,기획,복합,뮤지컬,유료,4,3,0,7,4,1001,2149,69,2218,1967,39,2006,137820367,2024-11-22,241122_01
18,GS칼텍스 예울마루 실내악 페스티벌 Part 2.,2024,11,11/26(화) 19:30,GS칼텍스 예울마루,"R 50,000원
S 30,000원
학생 전석 10,000원",24개월이상,대극장,기획,순수,클래식,유료,0,1,0,1,1,936,140,72,212,124,61,185,4082204,2024-11-26,241126_01
19,브런치 콘서트 <그 어느 겨울보다 따뜻한>,2024,12,12/4(수)11:00,GS칼텍스 예울마루,"전석 15,000원",미취학 아동 입장불가,대극장,기획,순수,클래식,유료,1,1,0,2,1,937,921,16,937,831,6,837,12528941,2024-12-04,241204_01
20,"윈터워크-재즈 피아노, 트리오, 재즈 빅밴드와 함께하는 특별한 음악 산책",2024,12,12/6(금)19:30,GS칼텍스 예울마루,전석 5만원,5세이상,대극장,기획,순수,클래식,유료,1,1,0,2,1,668,285,98,383,253,65,318,11849745,2024-12-06,241206_01
21,연극 <시간을 파는 상점>,2024,12,"12/11(수) 10:30, 15:00
12/12(목) 10:30, 14:30
12/13(금) 10:30, 15:00, 19:30
12/14(토) 14:00, 17:00
12/17(화) 10:30, 15:00
12/18(수) 10:30",GS칼텍스 예울마루,전석 4만5천원,초등학생 이상,소극장,기획,순수,연극,유료,1,6,1,8,12,298,3467,50,3517,3237,14,3251,111191534,2024-12-11,241211_01
22,아레나 디 베로나 오페라 페스티벌 <라 보엠> 공연실황 상영,2024,12,12/21(토) 17:00,GS칼텍스 예울마루,전석 2만원,초등학생 이상,대극장,기획,순수,클래식,유료,0,1,0,1,1,668,151,18,169,140,1,141,2605786,2024-12-21,241221_01
23,발레 <호두까기 인형>,2024,12,"12/24(화)19:30
12/25(수)17:00",GS칼텍스 예울마루/여수MBC,"R 77,000원
S 55,000원
A 44,000원",5세이상,대극장,기획,순수,무용,유료,2,2,0,4,2,936,1846,18,1864,1786,9,1795,52037746,2024-12-24,241224_01
