전체순번,공연명,사업구분,공연구분,장르1,티켓구분,기본좌석,발권유료,년도,월,일,상태,공연ID,발권초대
1,예울마루 개관기념 KBS열린음악회,공연,기획,클래식,무료,6000,0,2012,5,10,정상,120510_01,6000
2,여수엑스포심포니오케스트라왈츠콘서트,공연,대관,클래식,무료,948,0,2012,5,21,정상,120521_01,720
3,여수시립합창단 제61회 정기연주회,공연,대관,클래식,유료,1021,996,2012,5,22,정상,120522_01,0
4,창작오페라 <손양원>,공연,대관,클래식,유료,948,650,2012,6,1,정상,120601_01,0
5,창작오페라 <손양원>,공연,대관,클래식,유료,948,450,2012,6,2,정상,120601_01,0
6,창작오페라 <손양원>,공연,대관,클래식,유료,948,550,2012,6,2,정상,120601_01,0
7,한중연합오케스트라,공연,기획,클래식,유료,948,930,2012,6,9,정상,,0
8,한-요르단 수교 50주년 기념] 요르단 국립민속예술단,공연,대관,발레/연극,무료,302,0,2012,6,10,정상,120610_01,261
9,창작오페라 <귀항>_2012,공연,대관,클래식,유료,948,631,2012,6,14,정상,120614_01,56
10,창작오페라 <귀항>_2012,공연,대관,클래식,유료,948,635,2012,6,15,정상,120614_01,109
11,창작오페라 <귀항>_2012,공연,대관,클래식,유료,948,598,2012,6,16,정상,120614_01,128
12,[한-모로코 수교 50주년 기념] 모로코 라바트 안달루시아 오케스트라,공연,대관,클래식,무료,302,0,2012,6,17,정상,120617_01,226
13,"배병우의 <대양을 향하여>를 위한 <거문고,소리,피아노 그리고 춤>",공연,대관,기타,무료,302,0,2012,6,28,정상,120628_01,239
14,2012 여수엑스포 축하음악회 - 여수필하모닉오케스트라 제 24회 연주회,공연,대관,클래식,무료,948,0,2012,6,29,정상,120629_01,732
15,제15회 대학생 국토대장정 출정식,공연,대관,기타,무료,100,0,2012,7,4,정상,120704_01,100
16,제14회 지속가능발전전국대회,공연,대관,기타,무료,1021,0,2012,7,4,정상,120704_02,400
17,제14회 지속가능발전전국대회,공연,대관,기타,무료,302,0,2012,7,5,정상,120704_02,200
18,제14회 지속가능발전전국대회,공연,대관,기타,무료,1021,0,2012,7,6,정상,120704_02,400
19,[2012 여수 엑스포 축하기념] 뉴욕 주립 청소년 오케스트라 (Empire State Youth Orchestra) 초청 연주회,공연,대관,클래식,무료,948,0,2012,7,7,정상,120707_01,716
20,창작가무악극 <오돌래>,공연,대관,기타,유료,948,441,2012,7,12,정상,120712_01,82
21,창작가무악극 <오돌래>,공연,대관,기타,유료,948,539,2012,7,13,정상,120712_01,57
22,창작가무악극 <오돌래>,공연,대관,기타,유료,948,552,2012,7,14,정상,120712_01,94
23,광주시립무용단 한국창작발레 성웅 이순신,공연,대관,발레/연극,무료,948,0,2012,7,21,정상,120721_01,575
24,"전남도립국악단 판페라 ""이순신"" - 민초와 함께 부르는 의로운 함성",공연,대관,기타,유료,948,604,2012,7,27,정상,120727_01,254
25,유럽거장들과 함께하는 Music Travel,공연,대관,클래식,유료,302,150,2012,7,28,정상,120728_01,45
26,2012 여수국제장애인EXPO,공연,대관,기타,무료,948,0,2012,7,31,정상,120731_01,520
27,2012 여수국제장애인EXPO,공연,대관,기타,무료,948,0,2012,8,2,정상,120731_01,530
28,여수엑스포심포니오케스트라 Gala Concert,공연,대관,클래식,무료,948,0,2012,8,7,정상,120807_01,649
29,815광복절기념 축하음악회 <한국환상곡>2012,공연,대관,클래식,무료,948,0,2012,8,15,정상,120815_01,740
30,시공간으로의 여행 - 평양 예술단,공연,대관,발레/연극,무료,1021,0,2012,9,11,정상,120911_01,1015
31,드뷔시 탄생 150주년 기념 전남대학교 피아노 교수음악회,공연,대관,클래식,무료,302,0,2012,9,13,정상,120913_01,237
32,제22회 남도시립합창제,공연,대관,클래식,무료,948,0,2012,9,14,정상,120914_01,554
33,관객과 호흡하는 김동규 가을콘서트,공연,대관,대중,유료,1021,995,2012,9,15,정상,120915_01,0
34,이문세 붉은노을,공연,대관,대중,유료,948,653,2012,9,21,정상,120921_01,141
35,이문세 붉은노을,공연,대관,대중,유료,948,692,2012,9,22,정상,120921_01,150
36,이미자 孝 콘서트 - 세월과 함께 부른 나의 노래,공연,대관,대중,유료,1021,636,2012,10,13,정상,121013_01,52
37,이미자 孝 콘서트 - 세월과 함께 부른 나의 노래,공연,대관,대중,유료,1021,514,2012,10,13,정상,121013_01,39
38,"제21회 전국무용제개막식
춤, 대양을 품다",공연,대관,발레/연극,유료,948,168,2012,10,18,정상,121018_01,689
39,"제21회 전국무용제 <춤, 대양을 품다>",공연,대관,발레/연극,유료,948,0,2012,10,19,정상,121019_01,542
40,녹색환경 글쓰기대회 2012,공연,대관,기타,무료,2000,0,2012,10,20,정상,121020_01,2000
41,"제21회 전국무용제 <춤, 대양을 품다>",공연,대관,발레/연극,유료,948,0,2012,10,20,정상,121019_01,468
42,"제21회 전국무용제 <춤, 대양을 품다>",공연,대관,발레/연극,유료,948,0,2012,10,21,정상,121019_01,457
43,"제21회 전국무용제 <춤, 대양을 품다>",공연,대관,발레/연극,유료,948,0,2012,10,22,정상,121019_01,295
44,"제21회 전국무용제 <춤, 대양을 품다>",공연,대관,발레/연극,유료,948,0,2012,10,23,정상,121019_01,351
45,"제21회 전국무용제 <춤, 대양을 품다>",공연,대관,발레/연극,유료,948,0,2012,10,24,정상,121019_01,388
46,"제21회 전국무용제 <춤, 대양을 품다>",공연,대관,발레/연극,유료,948,0,2012,10,25,정상,121019_01,474
47,"제21회 전국무용제 <춤, 대양을 품다>",공연,대관,발레/연극,유료,948,0,2012,10,26,정상,121019_01,376
48,"제21회 전국무용제폐막식
춤, 대양을 품다",공연,대관,발레/연극,유료,948,0,2012,10,27,정상,121027_01,449
49,여수학생연극페스티벌_제1회,공연,대관,발레/연극,무료,302,0,2012,10,30,정상,121030_01,233.5
50,여수학생연극페스티벌_제1회,공연,대관,발레/연극,무료,302,0,2012,10,31,정상,121030_01,233.5
51,"여수 학생.학부모 합창페스티벌""내노래에 날개를 달다""_제1회",공연,대관,클래식,무료,948,0,2012,11,2,정상,121102_01,200
52,"여수 학생.학부모 합창페스티벌""내노래에 날개를 달다""_제1회",공연,대관,클래식,무료,948,,2012,11,3,정상,121102_01,390
53,여도오케스트라 심포니 페스티벌,공연,대관,클래식,무료,948,0,2012,11,7,정상,121107_01,717
54,초특급애니뮤지컬 <로보카 폴리>,공연,기획,뮤지컬,유료,948,441.8,2012,11,10,정상,121110_01,120
55,초특급애니뮤지컬 <로보카 폴리>,공연,기획,뮤지컬,유료,948,441.8,2012,11,10,정상,121110_01,120
56,초특급애니뮤지컬 <로보카 폴리>,공연,기획,뮤지컬,유료,948,441.8,2012,11,10,정상,121110_01,120
57,초특급애니뮤지컬 <로보카 폴리>,공연,기획,뮤지컬,유료,948,441.8,2012,11,11,정상,121110_01,120
58,초특급애니뮤지컬 <로보카 폴리>,공연,기획,뮤지컬,유료,948,441.8,2012,11,11,정상,121110_01,120
59,카르페디엠 플룻앙상블 창단연주회,공연,대관,클래식,유료,302,298,2012,11,10,정상,121110_02,0
60,제4회 성가합창제,공연,대관,클래식,무료,1021,0,2012,11,13,정상,121113_01,999
61,전남교육음악제_제9회,공연,대관,클래식,무료,1021,0,2012,11,14,정상,121114_01,1019
62,연극 <옥탑방고양이>,공연,기획,발레/연극,유료,302,274,2012,11,16,정상,121116_01,4
63,연극 <옥탑방고양이>,공연,기획,발레/연극,유료,302,288,2012,11,17,정상,121116_01,2
64,연극 <옥탑방고양이>,공연,기획,발레/연극,유료,302,262,2012,11,17,정상,121116_01,4
65,연극 <옥탑방고양이>,공연,기획,발레/연극,유료,302,231,2012,11,18,정상,121116_01,4
66,연극 <옥탑방고양이>,공연,기획,발레/연극,유료,302,283,2012,11,18,정상,121116_01,4
67,여수교원교향악단 제5회 정기연주회,공연,대관,클래식,무료,1021,0,2012,11,21,정상,121121_01,999
68,컬투쇼 <2년만의 미친투어>,공연,대관,대중,유료,1021,802,2012,11,23,정상,121123_01,113
69,컬투쇼 <2년만의 미친투어>,공연,대관,대중,유료,1021,990,2012,11,24,정상,121123_01,0
70,컬투쇼 <2년만의 미친투어>,공연,대관,대중,유료,1021,907,2012,11,24,정상,121123_01,83
71,여도국악관현악단 제6회 정기연주회 <사랑나눔음악회>,공연,대관,클래식,무료,1021,0,2012,11,29,정상,121129_01,916
72,여수YWCA합창단 제13회 정기연주회,공연,대관,클래식,유료,1021,0,2012,12,4,정상,121204_01,628
73,여수시립합창단 제62회 정기연주회 <헨델 오라토리오 '메시아'>,공연,대관,클래식,유료,948,852,2012,12,6,정상,121206_01,0
74,제4회 가족콘서트,공연,대관,대중,무료,948,0,2012,12,8,정상,121208_01,334
75,여수학생 오케스트라 페스티벌_2012,공연,대관,클래식,무료,948,0,2012,12,12,정상,121212_01,779
76,여수학생 오케스트라 페스티벌_2012,공연,대관,클래식,무료,948,,2012,12,13,정상,121212_01,922
77,희망에너지교실,공연,대관,기타,무료,302,0,2012,12,13,정상,121213_01,298
78,금난새와 함께하는 송년음악회,공연,대관,클래식,유료,1021,979,2012,12,15,정상,121215_01,0
79,여수시립국악단 제24회 정기연주회 <좋지 아니한가>,공연,대관,클래식,유료,948,667,2012,12,18,정상,121218_01,0
80,크리스마스칸타타_2012,공연,대관,뮤지컬,유료,948,926,2012,12,20,정상,121220_01,0
81,이루마콘서트 <기억에 머무르다>,공연,기획,클래식,유료,1021,997,2012,12,22,정상,121222_01,22
82,양성원과레봉벡의 <FUN한여행>,공연,기획,클래식,유료,1021,988,2012,12,25,정상,121225_01,22
83,"제정화 젊은소리 여덟번째 ""유쾌한 수다""",공연,대관,기타,유료,302,289,2012,12,27,정상,121227_01,0
84,국립발레단의 <호두까기인형>,공연,기획,발레/연극,유료,948,805,2012,12,29,정상,121229_01,32
85,국립발레단의 <호두까기인형>,공연,기획,발레/연극,유료,948,836,2012,12,30,정상,121229_01,83
1,뮤지컬 <맘마미아>,공연,기획,뮤지컬,유료,948,919,2013,1,19,정상,130119_01,22
2,뮤지컬 <맘마미아>,공연,기획,뮤지컬,유료,948,922,2013,1,19,정상,130119_01,22
3,뮤지컬 <맘마미아>,공연,기획,뮤지컬,유료,948,922,2013,1,20,정상,130119_01,20
4,뮤지컬 <맘마미아>,공연,기획,뮤지컬,유료,948,862,2013,1,20,정상,130119_01,82
5,금난새의 신년음악회,공연,대관,클래식,유료,1021,831,2013,1,25,정상,130125_01,44
6,종합예술제,공연,대관,클래식,무료,948,0,2013,2,13,정상,130213_01,755
7,연극 <아버지>,공연,대관,발레/연극,유료,1021,780,2013,2,15,정상,130215_01,21
8,연극 <아버지>,공연,대관,발레/연극,유료,1021,740,2013,2,16,정상,130215_01,40
9,연극 <아버지>,공연,대관,발레/연극,유료,1021,840,2013,2,16,정상,130215_01,42
10,김제동토크콘서트 <노브레이크>시즌4,공연,대관,대중,유료,1021,770,2013,2,22,정상,130222_01,23
11,김제동토크콘서트 <노브레이크>시즌4,공연,대관,대중,유료,1021,900,2013,2,23,정상,130222_01,20
12,시민과의 대화,공연,대관,기타,무료,302,0,2013,2,26,정상,130226_01,302
