기준일자,공연명,유료좌석,유료금액,무료좌석,합계좌석,합계금액,점유율,전일대비(석),공연ID,예측제외
20260402,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,89,1633500,0,89,1633500,9.6,0,260507_01,
20260402,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,141,5954000,0,141,5954000,15.2,0,260530_01,
20260402,한국페스티발앙상블 <세상에서 가장 편한 음악>,92,2742000,0,92,2742000,9.9,2,260523_01,
20260402,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,263,5178000,0,263,5178000,28.4,0,260409_01,
20260402,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",475,13293000,0,475,13293000,12.8,9,260416_01,
20260402,어린이 뮤지컬 <100층짜리 집>,1291,49485100,0,1291,49485100,23.2,157,260514_01,
20260401,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,89,1633500,0,89,1633500,9.6,0,260507_01,
20260401,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,141,5954000,0,141,5954000,15.2,0,260530_01,
20260401,한국페스티발앙상블 <세상에서 가장 편한 음악>,90,2672000,0,90,2672000,9.7,0,260523_01,
20260401,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,263,5174000,0,263,5174000,28.4,-12,260409_01,
20260401,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",466,12901000,0,466,12901000,12.6,12,260416_01,
20260401,어린이 뮤지컬 <100층짜리 집>,1134,44570400,0,1134,44570400,20.4,17,260514_01,
20260331,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,89,1633500,0,89,1633500,9.6,4,260507_01,
20260331,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,141,5954000,0,141,5954000,15.2,5,260530_01,
20260331,한국페스티발앙상블 <세상에서 가장 편한 음악>,90,2672000,0,90,2672000,9.7,0,260523_01,
20260331,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,275,5390000,0,275,5390000,29.7,7,260409_01,
20260331,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",454,12547000,0,454,12547000,12.3,7,260416_01,
20260331,어린이 뮤지컬 <100층짜리 집>,1117,43911700,0,1117,43911700,20.1,2,260514_01,
20260328,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,85,1543500,0,85,1543500,9.2,-2,260507_01,
20260328,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,136,5744000,0,136,5744000,14.7,-4,260530_01,
20260328,한국페스티발앙상블 <세상에서 가장 편한 음악>,90,2672000,0,90,2672000,9.7,2,260523_01,
20260328,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,268,5264000,0,268,5264000,28.9,10,260409_01,
20260328,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",447,12384000,0,447,12384000,12.1,10,260416_01,
20260328,어린이 뮤지컬 <100층짜리 집>,1115,43831900,0,1115,43831900,20,75,260514_01,
20260327,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,87,1581000,0,87,1581000,9.4,3,260507_01,
20260327,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,140,5916000,0,140,5916000,15.1,5,260530_01,
20260327,한국페스티발앙상블 <세상에서 가장 편한 음악>,88,2652000,0,88,2652000,9.5,3,260523_01,
20260327,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,258,5090000,0,258,5090000,27.9,-3,260409_01,
20260327,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",437,12018000,0,437,12018000,11.8,18,260416_01,
20260327,어린이 뮤지컬 <100층짜리 집>,1040,41172600,0,1040,41172600,18.7,69,260514_01,
20260325,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,84,1521000,0,84,1521000,9.1,0,260507_01,
20260325,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,135,5706000,0,135,5706000,14.6,0,260530_01,
20260325,한국페스티발앙상블 <세상에서 가장 편한 음악>,85,2547000,0,85,2547000,9.2,0,260523_01,
20260325,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,261,5146000,0,261,5146000,28.2,14,260409_01,
20260325,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",419,11570000,0,419,11570000,11.3,14,260416_01,
20260325,어린이 뮤지컬 <100층짜리 집>,971,38696700,0,971,38696700,17.5,-1,260514_01,
20260324,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,84,1521000,0,84,1521000,9.1,32,260507_01,
20260324,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,135,5706000,0,135,5706000,14.6,8,260530_01,
20260324,한국페스티발앙상블 <세상에서 가장 편한 음악>,85,2547000,0,85,2547000,9.2,-2,260523_01,
20260324,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,247,4690000,0,247,4690000,26.7,15,260409_01,
20260324,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",405,11132000,0,405,11132000,10.9,34,260416_01,
20260324,어린이 뮤지컬 <100층짜리 집>,972,38736600,0,972,38736600,17.5,3,260514_01,
20260321,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,52,853500,0,52,853500,5.6,52,260507_01,
20260321,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,127,5367000,0,127,5367000,13.7,0,260530_01,
20260321,한국페스티발앙상블 <세상에서 가장 편한 음악>,87,2617000,0,87,2617000,9.4,0,260523_01,
20260321,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,232,4434000,0,232,4434000,25.1,6,260409_01,
20260321,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",371,10266000,0,371,10266000,10,11,260416_01,
20260321,어린이 뮤지컬 <100층짜리 집>,969,38622500,0,969,38622500,17.4,0,260514_01,
20260320,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,127,5367000,0,127,5367000,13.7,1,260530_01,
20260320,한국페스티발앙상블 <세상에서 가장 편한 음악>,87,2617000,0,87,2617000,9.4,1,260523_01,
20260320,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,226,4330000,0,226,4330000,24.4,5,260409_01,
20260320,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",360,9943000,0,360,9943000,9.7,4,260416_01,
20260320,어린이 뮤지컬 <100층짜리 집>,969,38622500,0,969,38622500,17.4,8,260514_01,
20260319,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,126,5325000,0,126,5325000,13.6,3,260530_01,
20260319,한국페스티발앙상블 <세상에서 가장 편한 음악>,86,2582000,0,86,2582000,9.3,-1,260523_01,
20260319,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,221,4238000,0,221,4238000,23.9,2,260409_01,
20260319,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",356,9827000,0,356,9827000,9.6,3,260416_01,
20260319,어린이 뮤지컬 <100층짜리 집>,961,38306100,0,961,38306100,17.3,1,260514_01,
20260318,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,123,5199000,0,123,5199000,13.3,0,260530_01,
20260318,한국페스티발앙상블 <세상에서 가장 편한 음악>,87,2617000,0,87,2617000,9.4,-2,260523_01,
20260318,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,219,4196000,0,219,4196000,23.7,0,260409_01,
