공연ID,대표공연명,연도,첫공연일,회차수,출처,장르1,장르혼합,장르출처
120510_01,예울마루 개관기념 KBS열린음악회,2012,20120510,1,운영대장,클래식,,대장
120521_01,여수엑스포심포니오케스트라왈츠콘서트,2012,20120521,1,운영대장,클래식,,대장
120522_01,여수시립합창단 제61회 정기연주회,2012,20120522,1,운영대장,클래식,,대장
120601_01,창작오페라 <손양원>,2012,20120601,3,운영대장,클래식,,대장
120610_01,한-요르단 수교 50주년 기념] 요르단 국립민속예술단,2012,20120610,1,운영대장,발레/연극,,대장
120614_01,창작오페라 <귀항>_2012,2012,20120614,3,운영대장,클래식,,대장
120617_01,[한-모로코 수교 50주년 기념] 모로코 라바트 안달루시아 오케스트라,2012,20120617,1,운영대장,클래식,,대장
120628_01,"배병우의 <대양을 향하여>를 위한 <거문고,소리,피아노 그리고 춤>",2012,20120628,1,운영대장,기타,,대장
120629_01,2012 여수엑스포 축하음악회 - 여수필하모닉오케스트라 제 24회 연주회,2012,20120629,1,운영대장,클래식,,대장
120704_01,제15회 대학생 국토대장정 출정식,2012,20120704,1,운영대장,기타,,대장
120704_02,제14회 지속가능발전전국대회,2012,20120704,3,운영대장,기타,,대장
120707_01,[2012 여수 엑스포 축하기념] 뉴욕 주립 청소년 오케스트라 (Empire State Youth Orchestra) 초청 연주회,2012,20120707,1,운영대장,클래식,,대장
120712_01,창작가무악극 <오돌래>,2012,20120712,3,운영대장,기타,,대장
120721_01,광주시립무용단 한국창작발레 성웅 이순신,2012,20120721,1,운영대장,발레/연극,,대장
120727_01,"전남도립국악단 판페라 ""이순신"" - 민초와 함께 부르는 의로운 함성",2012,20120727,1,운영대장,기타,,대장
120728_01,유럽거장들과 함께하는 Music Travel,2012,20120728,1,운영대장,클래식,,대장
120731_01,2012 여수국제장애인EXPO,2012,20120731,2,운영대장,기타,,대장
120807_01,여수엑스포심포니오케스트라 Gala Concert,2012,20120807,1,운영대장,클래식,,대장
120815_01,815광복절기념 축하음악회 <한국환상곡>2012,2012,20120815,1,운영대장,클래식,,대장
120911_01,시공간으로의 여행 - 평양 예술단,2012,20120911,1,운영대장,발레/연극,,대장
120913_01,드뷔시 탄생 150주년 기념 전남대학교 피아노 교수음악회,2012,20120913,1,운영대장,클래식,,대장
120914_01,제22회 남도시립합창제,2012,20120914,1,운영대장,클래식,,대장
120915_01,관객과 호흡하는 김동규 가을콘서트,2012,20120915,1,운영대장,대중,,대장
120921_01,이문세 붉은노을,2012,20120921,2,운영대장,대중,,대장
121013_01,이미자 孝 콘서트 - 세월과 함께 부른 나의 노래,2012,20121013,2,운영대장,대중,,대장
121018_01,"제21회 전국무용제개막식
춤, 대양을 품다",2012,20121018,1,운영대장,발레/연극,,대장
121019_01,"제21회 전국무용제 <춤, 대양을 품다>",2012,20121019,8,운영대장,발레/연극,,대장
121020_01,녹색환경 글쓰기대회 2012,2012,20121020,1,운영대장,기타,,대장
121027_01,"제21회 전국무용제폐막식
춤, 대양을 품다",2012,20121027,1,운영대장,발레/연극,,대장
121030_01,여수학생연극페스티벌_제1회,2012,20121030,2,운영대장,발레/연극,,대장
121102_01,"여수 학생.학부모 합창페스티벌""내노래에 날개를 달다""_제1회",2012,20121102,2,운영대장,클래식,,대장
121107_01,여도오케스트라 심포니 페스티벌,2012,20121107,1,운영대장,클래식,,대장
121110_01,초특급애니뮤지컬 <로보카 폴리>,2012,20121110,5,운영대장,뮤지컬,,대장
121110_02,카르페디엠 플룻앙상블 창단연주회,2012,20121110,1,운영대장,클래식,,대장
121113_01,제4회 성가합창제,2012,20121113,1,운영대장,클래식,,대장
121114_01,전남교육음악제_제9회,2012,20121114,1,운영대장,클래식,,대장
121116_01,연극 <옥탑방고양이>,2012,20121116,5,운영대장,발레/연극,,대장
121121_01,여수교원교향악단 제5회 정기연주회,2012,20121121,1,운영대장,클래식,,대장
121123_01,컬투쇼 <2년만의 미친투어>,2012,20121123,3,운영대장,대중,,대장
121129_01,여도국악관현악단 제6회 정기연주회 <사랑나눔음악회>,2012,20121129,1,운영대장,클래식,,대장
121204_01,여수YWCA합창단 제13회 정기연주회,2012,20121204,1,운영대장,클래식,,대장
121206_01,여수시립합창단 제62회 정기연주회 <헨델 오라토리오 '메시아'>,2012,20121206,1,운영대장,클래식,,대장
121208_01,제4회 가족콘서트,2012,20121208,1,운영대장,대중,,대장
121212_01,여수학생 오케스트라 페스티벌_2012,2012,20121212,2,운영대장,클래식,,대장
121213_01,희망에너지교실,2012,20121213,1,운영대장,기타,,대장
121215_01,금난새와 함께하는 송년음악회,2012,20121215,1,운영대장,클래식,,대장
121218_01,여수시립국악단 제24회 정기연주회 <좋지 아니한가>,2012,20121218,1,운영대장,클래식,,대장
121220_01,크리스마스칸타타_2012,2012,20121220,1,운영대장,뮤지컬,,대장
121222_01,이루마콘서트 <기억에 머무르다>,2012,20121222,1,운영대장,클래식,,대장
121225_01,양성원과레봉벡의 <FUN한여행>,2012,20121225,1,운영대장,클래식,,대장
121227_01,"제정화 젊은소리 여덟번째 ""유쾌한 수다""",2012,20121227,1,운영대장,기타,,대장
121229_01,국립발레단의 <호두까기인형>,2012,20121229,2,운영대장,발레/연극,,대장
130119_01,뮤지컬 <맘마미아>,2013,20130119,4,운영대장,뮤지컬,,대장
130125_01,금난새의 신년음악회,2013,20130125,1,운영대장,클래식,,대장
130213_01,종합예술제,2013,20130213,1,운영대장,클래식,,대장
130215_01,연극 <아버지>,2013,20130215,3,운영대장,발레/연극,,대장
130222_01,김제동토크콘서트 <노브레이크>시즌4,2013,20130222,2,운영대장,대중,,대장
130226_01,시민과의 대화,2013,20130226,1,운영대장,기타,,대장
130301_01,지역예술인재콘서트,2013,20130301,2,운영대장,대중,,대장
130305_01,여수심포니오케스트라신포니에타연주회 <카운터테너루이스초이초청>,2013,20130305,1,운영대장,클래식,,대장
130316_01,양성원바흐무반주첼로모음곡전곡연주회,2013,20130316,1,운영대장,클래식,,대장
130317_01,"브라이언 크레인 내한 공연 ""사랑, 봄의 이야기""",2013,20130317,1,운영대장,클래식,,대장
130326_01,최정원&친구들의뮤지컬 콘서트,2013,20130326,1,운영대장,대중,,대장
130329_01,김영철의 FUNFUN 클래식,2013,20130329,1,운영대장,클래식,,대장
130402_01,신춘음악회,2013,20130402,1,운영대장,클래식,,대장
130411_01,앙상블 네우마와 함께하는 희망 콘서트,2013,20130411,1,운영대장,클래식,,대장
130413_01,연극 <친정엄마와 2박3일>,2013,20130413,2,운영대장,발레/연극,,대장
130418_01,"힐링음악회 I <봄 피아노, 책을 품다>",2013,20130418,1,운영대장,클래식,,대장
130418_02,마음톡톡캠프,2013,20130418,17,운영대장,기타,,대장
130420_01,코믹연극 <너와함께라면>,2013,20130420,2,운영대장,발레/연극,,대장
130426_01,김성녀의 <벽속의요정>,2013,20130426,2,운영대장,뮤지컬,,대장
130502_01,"김영옥 명창 ""이순신을 노래하다""",2013,20130502,1,운영대장,기타,,대장
130508_01,뮤지컬 <노틀담의 꼽추>,2013,20130508,8,운영대장,뮤지컬,,대장
130510_01,박완규출판기념식 및 이홍렬초청강연,2013,20130510,1,운영대장,기타,,대장
130515_01,태교음악회,2013,20130515,1,운영대장,클래식,,대장
130516_01,여수시립합창단 제63회 정기연주회,2013,20130516,1,운영대장,클래식,,대장
130518_01,예울마루개관1주년특별공연 <서울시향연주회>,2013,20130518,1,운영대장,클래식,,대장
130525_01,가족뮤지컬 <넌 특별하단다>,2013,20130525,2,운영대장,어린이·가족,,대장
130528_01,프라임 필하모닉오케스트라 초청 음악회,2013,20130528,1,운영대장,클래식,,대장
130531_01,어린이명품뮤지컬 <브레멘음악대>,2013,20130531,4,운영대장,어린이·가족,,대장
130604_01,뮤직드라마 <당신만이>,2013,20130604,4,운영대장,뮤지컬,,대장
130607_01,파가니니 카프리스 24개 전곡연주_바이올리니스트 임재홍,2013,20130607,1,운영대장,클래식,,대장
130608_01,개그빅콘서트,2013,20130608,2,운영대장,대중,,대장
130611_01,여수세계합창제_개막식,2013,20130611,1,운영대장,클래식,,대장
130612_01,여수세계합창제 콘서트 시리즈 1_미국 합창의 밤,2013,20130612,1,운영대장,대중,,대장
130613_01,여수세계합창제 콘서트 시리즈 2_필리핀 합창의 밤,2013,20130613,1,운영대장,대중,,대장
130614_01,여수세계합창제 콘서트 시리즈 3_민속음악 & Pop & Jazz,2013,20130614,1,운영대장,대중,,대장
130615_01,여수세계합창제 콘서트 시리즈 4_혼성합창의 밤,2013,20130615,1,운영대장,대중,,대장
130617_01,여수세계합창제_폐막식,2013,20130617,1,운영대장,클래식,,대장
130619_01,"힐링음악회Ⅱ <피아노,영화를만나다>""찰리채플린의 모던타임즈""",2013,20130619,1,운영대장,클래식,,대장
130621_01,재능나눔 콘서트,2013,20130621,1,운영대장,대중,,대장
130621_02,The주현미Show,2013,20130621,2,운영대장,대중,,대장
130622_01,"루마니아티미쇼아라 필하모닉 그들이 전하는 ""달콤한 클래식 읽기""",2013,20130622,1,운영대장,클래식,,대장
130623_01,폴포츠 내한공연,2013,20130623,1,운영대장,클래식,,대장
130628_01,제5회 피아노 듀오 연주회,2013,20130628,1,운영대장,클래식,,대장
130629_01,사운드오브뮤직_농림축산식품부주최,2013,20130629,2,운영대장,뮤지컬,,대장
130711_01,프레미에앙상블,2013,20130711,1,운영대장,클래식,,대장
130713_01,국립국악관현악단 <잔치>,2013,20130713,2,운영대장,기타,,대장
130716_01,서울예고와 함께하는 2013 청소년 음악회,2013,20130716,1,운영대장,클래식,,대장
130719_01,모스틀리 필하모닉 영화음악콘서트,2013,20130719,1,운영대장,대중,,대장
130813_01,희망에너지교실_학교폭력예방교육,2013,20130813,4,운영대장,기타,,대장
130815_01,815광복절기념 축하음악회 <한국환상곡>2013,2013,20130815,1,운영대장,클래식,,대장
130823_01,창극 홍길동_전남도립국악단 기획공연,2013,20130823,1,운영대장,기타,,대장
130824_01,문지영 피아노 독주회,2013,20130824,1,운영대장,클래식,,대장
130903_01,아르스노바 남성합창단 제5회 정기 연주회,2013,20130903,1,운영대장,클래식,,대장
130907_01,백건우 피아노리사이틀,2013,20130907,1,운영대장,클래식,,대장
130910_01,아가페합창단 제19회 정기연주회,2013,20130910,1,운영대장,클래식,,대장
130926_01,여수심포니오케스트라_낭만으로의여행,2013,20130926,1,운영대장,클래식,,대장
130928_01,여수영재오케스트라 제1회 정기연주회,2013,20130928,1,운영대장,클래식,,대장
131001_01,내친구첼로,2013,20131001,1,운영대장,클래식,,대장
131007_01,여수마칭(관악)페스티벌,2013,20131007,1,운영대장,기타,,대장
131010_01,여수시립합창단 제64회 정기연주회,2013,20131010,1,운영대장,클래식,,대장
131011_01,태교음악회_남편과함께하는,2013,20131011,1,운영대장,클래식,,대장
131015_01,전남대학교 피아노 교수음악회 <브람스를 좋아하세요?>,2013,20131015,1,운영대장,클래식,,대장
131016_01,"힐링음악회Ⅲ <피아노,여행을만나다>",2013,20131016,1,운영대장,클래식,,대장
131019_01,녹색환경 글쓰기대회 2013,2013,20131019,1,운영대장,기타,,대장
131022_01,가을밤의세레나데 2013,2013,20131022,1,운영대장,클래식,,대장
131024_01,전남대학교 예술대학 음악학과 제29회 정기연주회,2013,20131024,1,운영대장,클래식,,대장
131025_01,여수청소년관악단 제2회 정기연주회,2013,20131025,1,운영대장,클래식,,대장
131026_01,여수어머니리코더합주단 제11회 정기연주회,2013,20131026,1,운영대장,클래식,,대장
131026_02,번개맨의 비밀2 <우리영웅번개맨>,2013,20131026,5,운영대장,뮤지컬,,대장
131029_01,신의 아그네스,2013,20131029,1,운영대장,발레/연극,,대장
131030_01,여수학생연극페스티벌_제2회,2013,20131030,1,운영대장,발레/연극,,대장
131031_01,"여수 학생.학부모 합창페스티벌""내노래에 날개를 달다""_제2회",2013,20131031,1,운영대장,클래식,,대장
131101_01,조이아뮤지션스의 힐링음악회,2013,20131101,1,운영대장,클래식,,대장
131102_01,권혁주 파가니니로불사르다,2013,20131102,1,운영대장,클래식,,대장
131102_02,남진콘서트2013 <내노래의 이력서>,2013,20131102,2,운영대장,대중,,대장
131105_01,그남자 카운트테너 루이스쵸이를 만나자,2013,20131105,1,운영대장,클래식,,대장
131109_01,2013 메세나대상 수상 기념 <프레미에앙상블> 연주회,2013,20131109,1,운영대장,클래식,,대장
131112_01,"공제회와 함께 거니는 ""문화의 숲, 예술의 정원""",2013,20131112,1,운영대장,대중,,대장
131115_01,한국형뮤지컬 <오돌레>_2013,2013,20131115,2,운영대장,기타,,대장
131116_01,예술의전당콘서트실황중계 <토요콘서트>,2013,20131116,1,운영대장,대중,,대장
131119_01,여도오케스트라 제15회 정기연주회,2013,20131119,1,운영대장,클래식,,대장
131120_01,여수학생 오케스트라 페스티벌_2013,2013,20131120,2,운영대장,클래식,,대장
131121_01,요절복통 코믹연극 <경로당폰팅사건>,2013,20131121,5,운영대장,발레/연극,,대장
131123_01,여수교원교향악단 제6회 정기연주회,2013,20131123,1,운영대장,클래식,,대장
131124_01,발렌티나리시차 피아노리사이틀,2013,20131124,1,운영대장,클래식,,대장
131126_01,제 7회 전남초등교육음악제,2013,20131126,1,운영대장,클래식,,대장
131127_01,Prof.Andreas Lehmann & Lux Ensemble,2013,20131127,1,운영대장,클래식,,대장
131128_01,여수시립합창단 오페라갈라콘서트,2013,20131128,1,운영대장,클래식,,대장
131129_01,여수필하모닉오케스트라 제25회 정기연주회,2013,20131129,1,운영대장,클래식,,대장
131130_01,세종솔로이스츠의세레나데,2013,20131130,1,운영대장,클래식,,대장
