기준일자,전시ID,전시명,일일유료,일일무료,일일총인원,일일금액,누계유료,누계무료,누계총인원,누계금액,점유율
20260709,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,0,0,0,0,0,0,0,0,0.0
20260715,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,0,0,0,0,0,0,0,0,0.0
20260716,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,3,0,3,0,3,0,3,0,0.0
20260721,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,24,0,24,120000,27,0,27,120000,0.0
20260722,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,17,0,17,100000,44,0,44,220000,0.0
20260723,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,21,0,21,105000,65,0,65,325000,0.0
20260724,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,3,0,3,15000,68,0,68,340000,0.0
20260725,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,24,0,24,120000,92,0,92,460000,0.0
20260726,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,5,0,5,25000,97,0,97,485000,0.0
20260728,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,13,0,13,65000,110,0,110,550000,0.0
20260729,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,14,0,14,70000,124,0,124,620000,0.0
20260730,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,30,0,30,150000,154,0,154,770000,0.0
20260731,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,1,0,1,5000,155,0,155,775000,0.0
20260801,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,25,0,25,125000,196,0,196,980000,0.0
20260802,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,29,0,29,145000,225,0,225,1125000,0.0
20260804,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,12,0,12,60000,237,0,237,1185000,0.0
20260805,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,21,0,21,105000,258,0,258,1290000,0.0
20260806,260721_01,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,16,0,16,80000,16,0,16,80000,0.0
