NO,콘텐츠구분,풀네임,줄임말,판매시작일,판매종료일,시작일,종료일,담당자,장소,URL,프로그램ID,홍보시작일,구분,공동기획여부,지원사업여부,GS아트센터협업여부,회차,수익성,홍보노출,장르
1,공연,2026 신년음악회,신년음악회,2025-12-01 00:00:00,2026-01-08 00:00:00,2026-01-09 00:00:00,2026-01-09 00:00:00,Taylor Brooks 05380,대극장,https://www.yeulmaru.org/performance/v/?u=1237,260109_01,2026-01-01,클래식,0,0,0,,,,
2,공연,뮤지컬 <미세스 다웃파이어>,다웃파이어,2025-12-01 00:00:00,2026-01-23 00:00:00,2026-01-24 00:00:00,2026-01-25 00:00:00,Taylor Brooks 05380,대극장,https://www.yeulmaru.org/performance/v/?u=1238,260124_01,2026-01-01,뮤지컬(대형),1,0,0,,,,
3,전시,어린이미술전 <우리 SUM 타볼래?>,우리 SUM,2026-02-27 00:00:00,2026-06-28 00:00:00,2026-02-27 00:00:00,2026-06-28 00:00:00,Taylor Parker 05068,7층 전시실,https://www.yeulmaru.org/exhibition/v/?u=232,260227_01,2026-01-01,어린이 미술전,0,0,0,,,,
4,전시,기획전시 '섬냥이 in 장도',섬냥이,2026-03-27 00:00:00,2026-06-21 00:00:00,2026-03-27 00:00:00,2026-06-21 00:00:00,Cameron Foster 06326,장도 전시실,https://www.yeulmaru.org/exhibition/v/?u=235,260327_01,2026-01-01,장도 기획전,0,0,0,,,,
5,공연,2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,브런치 Ⅰ,2026-02-01 00:00:00,2026-05-01 00:00:00,2026-04-09 00:00:00,2026-04-09 00:00:00,Taylor Brooks 05380,대극장,https://www.yeulmaru.org/performance/v/?u=1249,260409_01,2026-01-01,클래식,0,0,0,,,,
6,공연,"2026 실내악페스티벌 <실내악, 그 이상의 세계>",실내악,2026-02-01 00:00:00,2026-05-02 00:00:00,2026-04-16 00:00:00,2026-04-19 00:00:00,Taylor Brooks 05380,대극장,https://www.yeulmaru.org/performance/v/?u=1248,260416_01,2026-01-01,클래식,0,0,0,,,,
7,공연,김영욱×콜레기움 무지쿰 서울 <8 Seasons>,김영욱,2026-02-01 00:00:00,2026-05-01 00:00:00,2026-05-07 00:00:00,2026-05-07 00:00:00,Jordan Hayes 05274,대극장,https://www.yeulmaru.org/performance/v/?u=1257,260507_01,2026-01-01,클래식,0,0,0,,,,
8,공연,어린이 뮤지컬 <100층짜리 집>,백층집,2026-02-01 00:00:00,2026-05-01 00:00:00,2026-05-14 00:00:00,2026-05-16 00:00:00,Taylor Brooks 05380,대극장,https://www.yeulmaru.org/performance/v/?u=1247,260514_01,2026-01-01,뮤지컬(어린이),0,0,0,,,,
9,공연,한국페스티발앙상블 <세상에서 가장 편한 음악>,편한음악,2026-05-01 00:00:00,2026-05-23 00:00:00,2026-05-23 00:00:00,2026-05-23 00:00:00,Taylor Brooks 05380,대극장,https://www.yeulmaru.org/performance/v/?u=1252,260523_01,2026-01-01,클래식,0,1,0,,,,
10,공연,국립심포니오케스트라 <피터와 늑대 & 어미 거위>,국심오케,2026-05-01 00:00:00,2026-05-30 00:00:00,2026-05-30 00:00:00,2026-05-30 00:00:00,Taylor Brooks 05380,대극장,https://www.yeulmaru.org/performance/v/?u=1254,260530_01,2026-01-01,클래식,0,0,1,,,,
