회원키,총구매,총매수,총금액,첫구매일,최근구매일,분포
00000004442,2,6,175000,20210114: ,20241012: ,2021|클래식:1;2024|클래식:1
00000016708,3,3,126000,20210114: ,20210319: ,2021|클래식:3
00000016515,33,57,1679000,20200619: ,20251204: ,2021|클래식:9;2022|클래식:6;2023|클래식:10;2025|발레/연극:1;2025|클래식:4;2020|클래식:3
00000018722,12,23,1334000,20201205: ,20240824: ,2021|클래식:5;2021|뮤지컬:1;2021|발레/연극:1;2022|클래식:1;2024|클래식:1;2020|클래식:3
00000002026,10,44,1182000,20201126: ,20250517: ,2021|클래식:1;2021|어린이·가족:1;2022|미상:1;2024|어린이·가족:1;2024|클래식:4;2025|어린이·가족:1;2020|클래식:1
00000001745,35,49,2063000,20200605: ,20251204: ,2021|클래식:5;2022|클래식:7;2022|미상:1;2022|발레/연극:1;2023|클래식:1;2023|발레/연극:1;2024|클래식:4;2024|뮤지컬:1;2025|클래식:12;2025|발레/연극:1;2020|클래식:1
00000007507,1,4,150000,20210114: ,20210114: ,2021|클래식:1
00000018523,2,2,78500,20210114: ,20210529: ,2021|클래식:1;2021|발레/연극:1
00000011930,29,32,1075000,20200619: ,20251026: ,2021|클래식:8;2021|발레/연극:1;2022|클래식:2;2022|발레/연극:2;2023|클래식:3;2024|클래식:4;2025|발레/연극:1;2025|클래식:6;2020|클래식:2
00000004347,5,8,543000,20210114: ,20250308: ,2021|클래식:1;2022|뮤지컬:1;2023|클래식:1;2025|클래식:2
00000010824,16,20,937500,20201018: ,20251026: ,2021|클래식:4;2021|발레/연극:1;2022|클래식:3;2022|발레/연극:1;2023|클래식:2;2023|발레/연극:1;2025|클래식:3;2020|클래식:1
00000012729,4,4,318500,20201126: ,20210917: ,2021|클래식:3;2020|클래식:1
00000007155,4,4,191000,20210114: ,20220901: ,2021|클래식:1;2022|클래식:3
00000001275,4,10,538000,20201126: ,20230119: ,2021|클래식:1;2022|클래식:1;2023|클래식:1;2020|클래식:1
00000009667,13,44,1770000,20201024: ,20230119: ,2021|클래식:7;2021|발레/연극:1;2022|뮤지컬:1;2022|클래식:1;2023|클래식:1;2020|뮤지컬:1;2020|클래식:1
00000007004,4,12,675000,20210114: ,20220901: ,2021|클래식:1;2021|뮤지컬:1;2022|클래식:2
00000001833,21,50,3820500,20201126: ,20251122: ,2021|클래식:3;2021|뮤지컬:3;2022|클래식:3;2022|뮤지컬:4;2022|미상:1;2023|발레/연극:1;2023|클래식:1;2024|뮤지컬:1;2024|클래식:1;2025|뮤지컬:2;2020|클래식:1
00000020538,32,45,1578000,20200619: ,20251204: ,2021|클래식:3;2021|뮤지컬:1;2022|클래식:6;2023|클래식:4;2023|발레/연극:1;2024|클래식:4;2025|클래식:7;2025|뮤지컬:1;2020|클래식:5
00000010569,10,20,1319500,20210114: ,20231020: ,2021|클래식:2;2022|클래식:1;2022|발레/연극:1;2023|클래식:4;2023|뮤지컬:1;2023|발레/연극:1
00000022240,46,80,3844200,20201016: ,20250116: ,2021|클래식:6;2021|발레/연극:1;2022|클래식:8;2022|발레/연극:2;2023|클래식:11;2023|발레/연극:1;2024|클래식:11;2024|발레/연극:3;2025|클래식:1;2020|클래식:2
00000012937,2,3,240500,20210114: ,20251123: ,2021|클래식:1;2025|뮤지컬:1
00000004766,23,28,1271700,20201016: ,20250720: ,2021|클래식:1;2021|발레/연극:1;2022|발레/연극:2;2022|뮤지컬:1;2023|클래식:3;2023|뮤지컬:1;2023|발레/연극:1;2024|클래식:6;2024|뮤지컬:1;2024|발레/연극:1;2025|발레/연극:3;2020|클래식:2
00000018730,7,13,876000,20201202: ,20230610: ,2021|클래식:2;2021|뮤지컬:1;2023|발레/연극:1;2020|클래식:3
00000011395,15,38,2086400,20201024: ,20250216: ,2021|클래식:1;2021|발레/연극:1;2022|어린이·가족:1;2023|클래식:4;2023|뮤지컬:2;2024|클래식:1;2024|발레/연극:1;2025|클래식:1;2025|뮤지컬:1;2020|뮤지컬:1;2020|클래식:1
00000002032,12,21,798000,20201018: ,20251115: ,2021|클래식:7;2023|발레/연극:1;2023|클래식:1;2025|클래식:1;2020|클래식:2
00000002796,30,44,2308500,20201016: ,20250904: ,2021|클래식:3;2021|뮤지컬:1;2022|클래식:6;2022|발레/연극:2;2023|클래식:6;2023|발레/연극:1;2024|클래식:6;2024|뮤지컬:1;2025|클래식:1;2020|클래식:3
00000008458,4,12,791000,20210114: ,20230408: ,2021|클래식:2;2022|발레/연극:1;2023|뮤지컬:1
00000020844,12,24,1864000,20210114: ,20250705: ,2021|클래식:2;2021|뮤지컬:1;2021|발레/연극:1;2022|클래식:1;2022|발레/연극:1;2023|클래식:1;2023|뮤지컬:1;2024|클래식:1;2025|클래식:1;2025|발레/연극:1;2025|뮤지컬:1
00000022566,4,9,779000,20210114: ,20250308: ,2021|클래식:1;2024|클래식:1;2024|뮤지컬:1;2025|클래식:1
00000020354,3,5,168500,20210114: ,20231110: ,2021|클래식:1;2023|클래식:2
00000009735,11,22,951000,20201016: ,20250904: ,2021|클래식:3;2022|클래식:1;2023|클래식:3;2025|클래식:3;2020|클래식:1
00000010067,5,7,262000,20210114: ,20251204: ,2021|클래식:1;2022|클래식:1;2025|클래식:3
00000017019,4,6,126000,20210114: ,20230519: ,2021|클래식:2;2022|클래식:1;2023|클래식:1
